otvoritev,barva,stevilo_iger,eco,datum,performance_rating,povprecen_rating,zmaga,remi,poraz,poteze 
"English Opening, King's English Variation, Troger Defense",black,877,A21,2022-07-24,2219,2242,34.3,26.1,39.6,1.c4 e5 2.Nc3 d6 3.g3 Be6 4.Bg2 Nc6
"English Opening, King's English Variation, Two Knights' Variation, Fianchetto Line",white,2824,A22,2022-07-24,2071,2042,46.4,24.6,29.0,1.c4 e5 2.Nc3 Nf6 3.g3
"English Opening, King's English Variation, Two Knights' Variation, Fianchetto Lines",black,444,A24,2022-07-01,2034,2054,30.9,23.2,46.0,1.c4 e5 2.Nc3 Nf6 3.g3 g6
"English Opening, King's English Variation, Two Knights' Variation, General",black,3006,A22,2022-07-24,2092,2099,37.8,24.8,37.5,1.c4 e5 2.Nc3 Nf6
"English Opening, King's English Variation, Two Knights' Variation, Keres Variation",black,1783,A23,2022-07-29,2129,2145,35.5,27.1,37.4,1.c4 e5 2.Nc3 Nf6 3.g3 c6
"English Opening, King's English Variation, Two Knights' Variation, Reversed Dragon",black,4239,A22,2022-07-24,2149,2176,34.0,29.3,36.8,1.c4 e5 2.Nc3 Nf6 3.g3 d5
"English Opening, King's English Variation, Two Knights' Variation, Smyslov System",black,3151,A22,2022-07-17,2297,2303,38.5,31.0,30.6,1.c4 e5 2.Nc3 Nf6 3.g3 Bb4
"English Opening, Symmetrical Variation, Anti-Benoni Variation",white,7961,A31,2022-07-24,2216,2197,37.8,27.6,34.6,1.c4 c5 2.Nf3 Nf6 3.d4
"English Opening, Symmetrical Variation, Anti-Benoni Variation, Geller Variation",black,1091,A33,2022-07-21,2417,2449,28.8,37.3,33.9,1.c4 c5 2.Nf3 Nf6 3.d4 cxd4 4.Nxd4 e6 5.Nc3 Nc6 6.g3 Qb6
"English Opening, Symmetrical Variation, Anti-Benoni Variation, Spielmann Defense",black,3669,A33,2022-07-24,2353,2387,24.9,42.5,32.5,1.c4 c5 2.Nf3 Nf6 3.d4 cxd4 4.Nxd4 e6 5.Nc3 Nc6
"English Opening, Symmetrical Variation, Anti-Benoni Variation, Spielmann Defense",black,1305,A32,2022-05-17,2342,2367,32.6,37.5,30.0,1.c4 c5 2.Nf3 Nf6 3.d4 cxd4 4.Nxd4 e6
"English Opening, Symmetrical Variation, Botvinnik System Reversed",black,3937,A37,2022-07-24,2284,2305,31.0,36.6,32.4,1.c4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.Nf3 e5
"English Opening, Symmetrical Variation, Botvinnik System Reversed",black,851,A36,2022-06-29,2242,2264,34.4,36.7,28.9,1.c4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.e3 e5
"English Opening, Symmetrical Variation, Botvinnik System",white,2713,A36,2022-07-25,2182,2150,29.6,29.7,40.7,1.c4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.e4
"English Opening, Symmetrical Variation, Double Fianchetto",white,115,A38,2022-04-19,2072,2109,25.2,40.9,33.9,1.c4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.Nf3 Nf6 6.O-O O-O 7.b3
"English Opening, Symmetrical Variation, Duchamp Variation",white,1699,A38,2022-07-24,2119,2110,28.5,44.8,26.7,1.c4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.Nf3 Nf6 6.O-O O-O 7.d3
"English Opening, Symmetrical Variation, Fianchetto Variation",white,728,A36,2022-06-21,2030,2004,50.5,24.6,24.9,1.c4 c5 2.Nc3 Nc6 3.g3
"English Opening, Symmetrical Variation, Fianchetto Variation",white,2754,A34,2022-07-24,2228,2205,41.7,28.2,30.1,1.c4 c5 2.Nc3 Nf6 3.g3
"English Opening, Symmetrical Variation, Four Knights Variation",black,5246,A35,2022-07-26,2223,2246,21.6,35.2,43.3,1.c4 c5 2.Nc3 Nc6 3.Nf3 Nf6
"English Opening, Symmetrical Variation, Full Symmetry Line",black,2253,A38,2022-07-25,2129,2142,21.9,35.3,42.7,1.c4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.Nf3 Nf6
"English Opening, Symmetrical Variation, General",black,9051,A30,2022-07-26,2199,2221,24.7,32.0,43.3,1.c4 c5
"English Opening, Symmetrical Variation, Hedgehog Defense",black,7510,A30,2022-07-23,2313,2345,22.9,41.2,35.9,1.c4 c5 2.Nf3 Nf6 3.g3 b6 4.Bg2 Bb7 5.O-O e6 6.Nc3 Be7
"English Opening, Symmetrical Variation, Mecking Variation",white,3096,A39,2022-07-24,2264,2232,43.2,37.1,19.7,1.c4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.Nf3 Nf6 6.O-O O-O 7.d4
"English Opening, Symmetrical Variation, Normal Variation",white,2133,A34,2022-07-18,2129,2118,37.3,29.4,33.4,1.c4 c5 2.Nc3
"English Opening, Symmetrical Variation, Rubinstein Variation",black,2310,A34,2022-07-24,2254,2256,35.6,28.1,36.3,1.c4 c5 2.Nc3 Nf6 3.g3 d5 4.cxd5 Nxd5 5.Bg2 Nc7
"English Opening, Symmetrical Variation, Symmetrical Variation",black,7107,A36,2022-07-30,2272,2288,27.8,38.1,34.1,1.c4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7
"English Opening, Symmetrical Variation, Three Knights Variation",black,3890,A34,2022-07-12,2327,2351,24.7,37.9,37.4,1.c4 c5 2.Nc3 Nf6 3.Nf3 d5 4.cxd5 Nxd5
"English Opening, Symmetrical Variation, Two Knights Line",white,7240,A37,2022-07-28,2283,2278,27.6,36.5,35.9,1.c4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.Nf3
"English Opening, Symmetrical Variation, Two Knights Variation",black,1253,A35,2022-07-22,2111,2137,28.9,28.3,42.8,1.c4 c5 2.Nc3 Nc6
"English Opening, The Whale",white,446,C20,2022-07-17,1810,1808,36.1,12.8,51.1,1.e4 e5 2.c4
"Englund Gambit Complex, Englund Gambit",black,652,A40,2022-07-24,1932,1983,34.0,16.3,49.7,1.d4 e5 2.dxe5 Nc6 3.Nf3 Qe7
"Englund Gambit Complex, General",black,273,A40,2022-07-24,1962,2004,38.8,12.8,48.4,1.d4 e5
"Englund Gambit Complex, Stockholm Variation",white,114,A40,2022-03-22,2116,2023,68.4,9.7,21.9,1.d4 e5 2.dxe5 Nc6 3.Nf3 Qe7 4.Qd5
"Englund Gambit, Declined, Reversed French",white,185,A40,2022-07-02,2009,1930,41.6,22.7,35.7,1.d4 e5 2.e3
"Four Knights Game, Double Spanish Misc. with 5.O-O",white,117,C49,2022-03-03,2277,2214,47.9,27.4,24.8,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bb5 Bb4 5.O-O O-O 6.d3
"Four Knights Game, Double Spanish",black,1015,C49,2022-06-25,2042,2075,33.2,29.0,37.8,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bb5 Bb4
"Four Knights Game, General",black,3980,C46,2022-07-23,2204,2211,30.9,30.2,38.9,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6
"Four Knights Game, Gunsberg Variation",white,1386,C46,2022-07-24,2206,2201,42.0,26.6,31.5,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.a3
"Four Knights Game, Halloween Gambit",white,112,C46,2022-03-15,2071,2081,42.0,14.3,43.8,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Nxe5
"Four Knights Game, Italian Variation",black,1320,C50,2022-07-24,1663,1676,47.0,20.4,32.6,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.Nc3 Nf6
"Four Knights Game, Italian Variation",white,2429,C46,2022-07-24,1740,1740,28.7,19.4,51.9,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bc4
"Four Knights Game, Italian Variation, Noa Gambit",white,463,C47,2022-07-24,1742,1797,23.8,13.2,63.1,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bc4 Nxe4 5.Bxf7+
"Four Knights Game, Janowski Variation",white,175,C49,2022-03-27,2392,2403,35.4,36.6,28.0,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bb5 Bb4 5.O-O O-O 6.d3 Bxc3 7.bxc3 d6 8.Re1
"Four Knights Game, Nimzowitsch (Paulsen)",white,357,C49,2022-07-09,2444,2403,27.7,49.3,23.0,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bb5 Bb4 5.O-O O-O 6.Bxc6
"Four Knights Game, Ranken Variation",white,248,C48,2022-06-01,1955,1937,52.4,23.4,24.2,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bb5 a6 5.Bxc6
"Four Knights Game, Scotch Variation",white,600,C47,2022-07-18,2002,1974,46.2,20.0,33.8,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.d4
"Four Knights Game, Scotch Variation, Accepted",black,8635,C47,2022-07-27,2163,2206,27.2,40.1,32.7,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.d4 exd4
"Four Knights Game, Scotch Variation, Belgrade Gambit",white,803,C47,2022-06-05,2211,2181,34.6,30.8,34.6,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.d4 exd4 5.Nd5
"Four Knights Game, Scotch Variation, Krause Gambit",white,349,C47,2022-06-11,2323,2245,37.3,34.7,28.1,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.d4 Bb4 5.Nxe5
"Four Knights Game, Scotch Variation, Krause Gambit, Leonhardt Defense",black,204,C47,2022-07-29,2297,2322,29.9,44.1,26.0,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.d4 Bb4 5.Nxe5 Qe7
"Four Knights Game, Spanish Variation",black,721,C49,2022-07-17,2362,2373,27.6,41.2,31.2,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bb5 Bb4 5.O-O O-O 6.d3 Bxc3
"Four Knights Game, Spanish Variation",white,2674,C48,2022-07-24,2142,2116,38.2,27.6,34.1,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bb5
"Four Knights Game, Spanish Variation, Classical Variation",black,1392,C48,2022-07-24,2007,2045,30.2,24.7,45.0,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bb5 Bc5
"Four Knights Game, Spanish Variation, Classical Variation, Marshall Gambit",black,224,C48,2022-03-18,2360,2394,26.8,32.6,40.6,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bb5 Bc5 5.Nxe5 Nd4 6.Ba4 O-O
"Four Knights Game, Spanish Variation, Rubinstein Variation",black,1968,C48,2022-07-16,2268,2296,28.3,33.5,38.2,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bb5 Nd4
"Four Knights Game, Spanish Variation, Rubinstein Variation, Accepted",white,668,C48,2022-04-21,2361,2331,14.2,66.3,19.5,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bb5 Nd4 5.Nxd4
"Four Knights Game, Spanish Variation, Symmetrical Variation",black,115,C49,2021-11-16,2316,2344,27.0,35.6,37.4,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bb5 Bb4 5.O-O O-O 6.d3 d6 7.Bg5 Bxc3 8.bxc3 Qe7 9.Re1 Nd8 10.d4 Bg4
"Four Knights Game, Spanish Variation, Symmetrical Variation",black,1555,C49,2022-06-12,2227,2270,23.6,39.4,37.0,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bb5 Bb4 5.O-O O-O 6.d3 d6
"Four Knights Game, Spanish Variation, Symmetrical Variation",white,469,C49,2022-07-24,2434,2414,36.3,42.6,21.1,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bb5 Bb4 5.O-O O-O 6.d3 d6 7.Ne2
"Four Knights Game, Spanish Variation, Symmetrical Variation",black,242,C49,2022-06-26,2389,2383,34.7,35.5,29.8,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bb5 Bb4 5.O-O O-O 6.d3 d6 7.Bg5 Ne7
"French Defense, Advance Variation",black,1321,C02,2022-07-23,2025,2015,47.5,19.1,33.4,1.e4 e6 2.d4 d5 3.e5 c5 4.c3 Nc6
"French Defense, Advance Variation",white,2318,C02,2022-07-24,2086,2064,40.0,21.7,38.4,1.e4 e6 2.d4 d5 3.e5 c5 4.c3
"French Defense, Advance Variation",white,2076,C02,2022-07-19,2054,2039,39.3,21.6,39.2,1.e4 e6 2.d4 d5 3.e5
"French Defense, Advance Variation, Euwe Variation",black,7414,C02,2022-07-26,2204,2220,37.9,26.0,36.1,1.e4 e6 2.d4 d5 3.e5 c5 4.c3 Nc6 5.Nf3 Bd7
"French Defense, Advance Variation, Extended Bishop Swap",black,161,C02,2022-06-29,2231,2234,39.1,24.2,36.6,1.e4 e6 2.d4 d5 3.e5 Bd7
"French Defense, Advance Variation, Lputian Variation",black,2196,C02,2022-05-05,2218,2226,36.8,26.2,36.9,1.e4 e6 2.d4 d5 3.e5 c5 4.c3 Nc6 5.Nf3 Qb6 6.a3 Nh6
"French Defense, Advance Variation, Main Line",white,6163,C02,2022-07-25,2183,2162,43.6,24.6,31.9,1.e4 e6 2.d4 d5 3.e5 c5 4.c3 Nc6 5.Nf3 Qb6 6.a3
"French Defense, Advance Variation, Milner-Barry Gambit",white,2647,C02,2022-07-24,2014,2010,40.4,18.5,41.2,1.e4 e6 2.d4 d5 3.e5 c5 4.c3 Nc6 5.Nf3 Qb6 6.Bd3
"French Defense, Advance Variation, Nimzowitsch Attack",white,332,C02,2022-07-16,2135,2131,42.5,16.9,40.7,1.e4 e6 2.d4 d5 3.e5 c5 4.Qg4
"French Defense, Advance Variation, Nimzowitsch Gambit",white,263,C02,2022-04-19,2130,2124,46.0,17.5,36.5,1.e4 e6 2.d4 d5 3.e5 c5 4.Qg4 cxd4 5.Nf3
"French Defense, Advance Variation, Nimzowitsch System",white,1365,C02,2022-07-09,1904,1930,31.8,16.9,51.4,1.e4 e6 2.d4 d5 3.e5 c5 4.Nf3
"French Defense, Advance Variation, Paulsen Attack",white,5974,C02,2022-07-24,2075,2067,39.0,22.9,38.1,1.e4 e6 2.d4 d5 3.e5 c5 4.c3 Nc6 5.Nf3
"French Defense, Advance Variation, Ruisdonk Gambit",white,224,C02,2022-02-13,2222,2222,38.0,19.6,42.4,1.e4 e6 2.d4 d5 3.e5 c5 4.Nf3 cxd4 5.Bd3
"French Defense, Advance Variation, Wade Variation",black,3099,C02,2022-07-16,2199,2221,34.9,28.3,36.8,1.e4 e6 2.d4 d5 3.e5 c5 4.c3 Qb6 5.Nf3 Bd7
"French Defense, Alapin Gambit",white,263,C00,2022-04-12,2089,2048,45.3,22.4,32.3,1.e4 e6 2.d4 d5 3.Be3
"French Defense, Alekhine-Chatard Attack",white,893,C13,2022-07-23,2209,2181,47.7,21.4,30.9,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Be7 5.e5 Nfd7 6.h4
"French Defense, Alekhine-Chatard Attack, Albin-Chatard Gambit",black,607,C13,2022-07-21,2132,2151,31.3,21.1,47.6,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Be7 5.e5 Nfd7 6.h4 Bxg5 7.hxg5 Qxg5
"French Defense, Alekhine-Chatard Attack, Breyer Variation",black,475,C13,2022-04-15,2136,2191,27.2,19.8,53.0,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Be7 5.e5 Nfd7 6.h4 c5
"French Defense, Alekhine-Chatard Attack, Maroczy Variation",black,693,C13,2022-06-21,2039,2080,25.7,18.3,56.0,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Be7 5.e5 Nfd7 6.h4 a6
"French Defense, Alekhine-Chatard Attack, Spielmann Variation",black,203,C13,2022-02-27,2183,2217,33.0,22.2,44.8,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Be7 5.e5 Nfd7 6.h4 O-O
"French Defense, Chigorin Variation",white,4903,C00,2022-07-24,2232,2225,45.2,24.3,30.5,1.e4 e6 2.Qe2
"French Defense, Classical Variation",black,161,C11,2022-06-05,2129,2128,38.5,24.2,37.3,1.e4 e6 2.d4 d5 3.Nc3 Nf6
"French Defense, Classical Variation, Alapin Variation",white,288,C14,2021-10-11,2360,2306,49.3,25.0,25.7,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Be7 5.e5 Nfd7 6.Bxe7 Qxe7 7.Nb5
"French Defense, Classical Variation, Burn Variation",black,4410,C11,2022-07-20,2270,2305,25.3,40.3,34.4,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 dxe4
"French Defense, Classical Variation, Burn Variation, Main Line",black,870,C11,2022-07-14,2194,2222,21.4,33.9,44.7,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 dxe4 5.Nxe4 Be7 6.Bxf6 Bxf6 7.Nf3 O-O
"French Defense, Classical Variation, Burn Variation, Morozevich Line",black,2888,C11,2022-07-24,2302,2335,31.2,33.0,35.8,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 dxe4 5.Nxe4 Be7 6.Bxf6 gxf6
"French Defense, Classical Variation, Delayed Exchange Variation",white,787,C11,2022-06-29,2205,2200,33.7,30.6,35.7,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.exd5
"French Defense, Classical Variation, General Variation",black,251,C14,2022-05-05,1949,1967,39.8,22.3,37.9,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Be7 5.e5 Nfd7 6.Bxe7 Qxe7
"French Defense, Classical Variation, Normal Variation",black,260,C13,2022-01-29,2061,2089,38.9,27.7,33.5,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Be7
"French Defense, Classical Variation, Pollock Variation",white,182,C14,2022-05-21,2064,2030,45.6,22.0,32.4,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Be7 5.e5 Nfd7 6.Bxe7 Qxe7 7.Qg4
"French Defense, Classical Variation, Richter Attack",white,141,C13,2021-10-24,2156,2164,42.5,14.2,43.3,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Be7 5.Bxf6 Bxf6 6.e5 Be7 7.Qg4
"French Defense, Classical Variation, Richter Attack",white,357,C13,2022-02-27,2179,2184,39.5,20.7,39.8,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Be7 5.Bxf6
"French Defense, Classical Variation, Rubinstein Variation",white,321,C14,2022-03-12,2384,2345,50.5,20.9,28.7,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Be7 5.e5 Nfd7 6.Bxe7 Qxe7 7.Qd2
"French Defense, Classical Variation, Steinitz Variation",white,3990,C11,2022-07-25,2187,2170,42.8,21.5,35.7,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.e5
"French Defense, Classical Variation, Steinitz Variation",white,3336,C14,2022-07-24,2246,2215,44.1,28.9,27.0,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Be7 5.e5 Nfd7 6.Bxe7 Qxe7 7.f4
"French Defense, Classical Variation, Swiss Variation",white,487,C11,2022-07-24,2128,2132,39.6,22.6,37.8,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bd3
"French Defense, Classical Variation, Tartakower Variation",black,280,C13,2022-03-29,2189,2244,22.1,33.2,44.6,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Be7 5.e5 Ne4
"French Defense, Diemer-Duhm Gambit",black,104,C00,2022-02-01,2154,2077,51.0,18.3,30.8,1.e4 e6 2.d4 d5 3.c4 dxe4
"French Defense, Exchange Variation",white,21308,C01,2022-07-25,2062,2032,26.6,36.6,36.8,1.e4 e6 2.d4 d5 3.exd5
"French Defense, Exchange Variation, Monte Carlo Variation",white,3861,C01,2022-07-18,2092,2072,36.6,27.5,35.9,1.e4 e6 2.d4 d5 3.exd5 exd5 4.c4
"French Defense, Exchange Variation, Svenonius Variation",white,482,C01,2022-07-04,2122,2091,31.3,35.1,33.6,1.e4 e6 2.d4 d5 3.exd5 exd5 4.Nc3 Nf6 5.Bg5
"French Defense, General",black,1334,C00,2022-07-24,1989,2008,40.5,19.8,39.7,1.e4 e6
"French Defense, Horwitz Attack",white,429,C00,2022-07-19,2076,2073,39.9,20.3,39.9,1.e4 e6 2.b3
"French Defense, Horwitz Attack, Papa-Ticulat Gambit",white,1536,C00,2022-07-10,2173,2139,44.7,22.4,32.9,1.e4 e6 2.b3 d5 3.Bb2
"French Defense, King's Indian Attack",white,17814,C00,2022-07-25,2209,2188,41.8,26.1,32.1,1.e4 e6 2.d3
"French Defense, Knight Variation",white,3066,C00,2022-07-24,1809,1818,28.0,19.0,53.0,1.e4 e6 2.Nf3
"French Defense, La Bourdonnais Variation",white,1117,C00,2022-07-24,2047,2043,38.8,21.9,39.3,1.e4 e6 2.f4
"French Defense, MacCutcheon Variation",black,152,C12,2022-02-18,2136,2134,39.5,24.3,36.2,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Bb4
"French Defense, MacCutcheon Variation, Bernstein Variation",white,182,C12,2022-01-18,2338,2295,46.7,24.7,28.6,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Bb4 5.e5 h6 6.Bh4
"French Defense, MacCutcheon Variation, Chigorin Variation",white,324,C12,2022-07-09,2026,2054,26.2,26.9,46.9,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Bb4 5.e5 h6 6.exf6
"French Defense, MacCutcheon Variation, Dr. Olland (Dutch) Variation",white,412,C12,2022-07-07,2348,2321,43.7,27.9,28.4,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Bb4 5.e5 h6 6.Bc1
"French Defense, MacCutcheon Variation, Exchange Variation",white,644,C12,2022-04-30,2331,2295,39.6,31.8,28.6,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Bb4 5.exd5
"French Defense, MacCutcheon Variation, Janowski Variation",white,752,C12,2022-04-16,2349,2304,47.1,22.6,30.3,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Bb4 5.e5 h6 6.Be3
"French Defense, MacCutcheon Variation, Lasker Variation",black,1804,C12,2022-07-11,2229,2237,37.3,26.9,35.8,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Bb4 5.e5 h6 6.Bd2 Bxc3
"French Defense, MacCutcheon Variation, Lasker Variation",black,1321,C12,2022-07-18,2263,2284,30.6,31.2,38.2,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Bb4 5.e5 h6 6.Bd2 Bxc3 7.bxc3 Ne4 8.Qg4 g6
"French Defense, MacCutcheon Variation, Tartakower Variation",black,116,C12,2021-10-17,2085,2088,30.2,17.2,52.6,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Bb4 5.e5 h6 6.Bd2 Nfd7
"French Defense, MacCutcheon Variation, Wolf Gambit",white,452,C12,2022-06-11,2277,2260,37.8,28.3,33.9,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Bb4 5.Ne2
"French Defense, Mediterranean Defense",black,144,C01,2022-07-07,1814,1821,25.7,13.9,60.4,1.e4 e6 2.d4 Nf6
"French Defense, Normal Variation",white,2928,C00,2022-07-26,2088,2031,51.8,17.3,30.9,1.e4 e6 2.d4
"French Defense, Normal Variation",white,3737,C10,2022-07-28,2299,2254,41.3,28.7,30.0,1.e4 e6 2.d4 d5 3.Nc3
"French Defense, Pelikan Variation",white,141,C00,2022-07-09,2154,2094,36.2,31.2,32.6,1.e4 e6 2.Nc3 d5 3.f4
"French Defense, Queen's Knight",white,1188,C00,2022-07-04,1832,1838,30.0,16.8,53.3,1.e4 e6 2.Nc3
"French Defense, Reti-Spielmann Attack",white,296,C00,2022-05-10,2020,2036,36.1,22.6,41.2,1.e4 e6 2.g3
"French Defense, Reversed Philidor Formation",white,147,C00,2022-03-29,2301,2269,36.7,34.7,28.6,1.e4 e6 2.d3 d5 3.Nd2 Nf6 4.Ngf3 Nc6 5.Be2
"French Defense, Rubinstein Variation",black,1852,C10,2022-07-24,1967,2027,19.7,25.4,54.9,1.e4 e6 2.d4 d5 3.Nc3 dxe4
"French Defense, Rubinstein Variation, Blackburne Defense",black,9559,C10,2022-07-27,2138,2172,19.6,36.0,44.3,1.e4 e6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nd7
"French Defense, Rubinstein Variation, Capablanca Line",white,129,C10,2022-06-27,2327,2275,50.4,35.7,13.9,1.e4 e6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nd7 5.Nf3 Ngf6 6.Nxf6+ Nxf6 7.Ne5
"French Defense, Rubinstein Variation, Fort Knox Variation",black,4823,C10,2022-07-27,2150,2179,19.6,35.4,45.0,1.e4 e6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Bd7 5.Nf3 Bc6
"French Defense, Rubinstein Variation, Maric Variation",black,266,C10,2021-10-08,2125,2192,25.2,29.7,45.1,1.e4 e6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Qd5
"French Defense, Schlechter Variation",white,3267,C00,2022-07-30,2200,2173,43.2,23.3,33.5,1.e4 e6 2.d4 d5 3.Bd3
"French Defense, Steinitz Attack",white,243,C00,2022-06-16,2076,2101,37.0,25.5,37.5,1.e4 e6 2.e5
"French Defense, Steinitz Variation",white,1805,C11,2022-07-12,2302,2270,39.7,27.3,33.0,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.e5 Nfd7 5.f4 c5 6.Nf3
"French Defense, Steinitz Variation, Boleslavsky Variation",white,12322,C11,2022-07-31,2321,2291,42.4,28.8,28.8,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.e5 Nfd7 5.f4 c5 6.Nf3 Nc6 7.Be3
"French Defense, Steinitz Variation, Gledhill Attack",white,124,C11,2022-04-12,2178,2173,47.6,19.4,33.1,1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.e5 Nfd7 5.Qg4
"French Defense, Tarrasch Variation",white,3273,C03,2022-07-24,2226,2185,47.0,26.7,26.4,1.e4 e6 2.d4 d5 3.Nd2
"French Defense, Tarrasch Variation, Botvinnik Variation",black,997,C05,2022-07-16,2223,2290,28.0,29.9,42.1,1.e4 e6 2.d4 d5 3.Nd2 Nf6 4.e5 Nfd7 5.Bd3 c5 6.c3 b6
"French Defense, Tarrasch Variation, Chistyakov Defense",black,5237,C07,2022-07-16,2241,2276,27.5,37.6,34.9,1.e4 e6 2.d4 d5 3.Nd2 c5 4.exd5 Qxd5
"French Defense, Tarrasch Variation, Chistyakov Defense, Modern Line",black,2432,C07,2022-07-06,2273,2308,23.4,39.6,37.0,1.e4 e6 2.d4 d5 3.Nd2 c5 4.exd5 Qxd5 5.Ngf3 cxd4 6.Bc4 Qd6 7.O-O Nf6 8.Nb3 Nc6 9.Nbxd4 Nxd4 10.Nxd4 a6
"French Defense, Tarrasch Variation, Closed Variation",black,4699,C05,2022-07-24,2117,2148,30.7,23.9,45.4,1.e4 e6 2.d4 d5 3.Nd2 Nf6
"French Defense, Tarrasch Variation, Closed Variation",black,6548,C05,2022-07-26,2079,2124,26.0,23.6,50.4,1.e4 e6 2.d4 d5 3.Nd2 Nf6 4.e5 Nfd7 5.Bd3 c5 6.c3 Nc6
"French Defense, Tarrasch Variation, Closed Variation, Main Line",white,10076,C06,2022-07-19,2264,2234,41.6,30.2,28.2,1.e4 e6 2.d4 d5 3.Nd2 Nf6 4.e5 Nfd7 5.Bd3 c5 6.c3 Nc6 7.Ne2 cxd4 8.cxd4
